École,Adresse,Ville-Région,Latitude,Longitude
ESIROI,50 Rue de l'Université 97410 Saint-Pierre,Saint-Pierre (La Réunion),-21.340442841536195,55.49108289523909
Polytech Nice Sophia,200 Avenue Sophia Antipolis 06560 Nice,Nice,43.6159093756149,7.071821112575643
Polytech Marseille,163 Avenue Luminy 13009 Marseille,Marseille,43.23614518683105,5.441177294564005
Polytech Montpellier,8 Place Eugène Bataillon 34095 Montpellier,Montpellier,43.632786842327704,3.862754783741047
Polytech Grenoble,120 Rue de la Chimie 38400 Grenoble,Grenoble,45.18438578513786,5.753581037784876
Polytech Lyon,20 Boulevard Niels Bohr 69622 Villeurbanne,Lyon,45.779435769538615,4.8682244550002105
Polytech Clermont,31 Rue André-Ampère 63170 Aubière,Clermont-Ferrand,45.760892891369835,3.1091823819873383
Polytech Annecy-Chambéry,5 Chemin de Bellevue 74940 Annecy-le-Vieux,Annecy_Chambery,45.91994413577735,6.157681338883273
Polytech Dijon,16 Rue de l'Université 21000 Dijon,Dijon,47.31238412220686,5.074025941575906
Polytech Tours,7 Avenue Monge 37200 Tours,Tours,47.3648156092849,0.6847464974016133
Polytech Angers,2 Boulevard Lavoisier 49000 Angers,Angers,47.48122201878988,-0.5919924664814249
Polytech Nantes,1 Rue Christian Pauc 44306 Nantes,Nantes,47.2821175295829,-1.5157888007548048
ENSIBS,15 Rue de Saint-Maudé 56100 Lorient,Lorient,47.74792385142074,-3.3963888160746625
Polytech Orléans,12 Rue de Blois 45000 Orléans,Orléans,47.8430646974071,1.9278723303218355
ENSIM,10 Avenue Olivier Messiaen 72000 Le Mans,Le Mans,48.01908722722116,0.1576032262672412
ESGT,12 Avenue des Arts et Métiers 72000 Le Mans,Le Mans,48.019004316555026,0.1546312109258679
Polytech Nancy,2 Avenue de la Forêt de Haye 54500 Vandoeuvre-lès-Nancy,Nancy,48.65983628517453,6.188293439791166
Polytech Paris-Saclay,3 Rue Joliot-Curie 91400 Orsay,Orsay-Saclay,48.70933243591051,2.170974389363536
Polytech Sorbonne,4 Place Jussieu 75005 Paris,Paris,48.845454564581125,2.357013895623208
ISEL,25 Rue Philippe Lebon 76600 Le Havre,Le Havre,49.49000083359446,0.12614765517179286
Polytech Lille,42 Rue Paul Duez 59000 Lille,Lille,50.607908591307435,3.1362177552254558
